superevent_id,preferred_event,t_0,pipeline,search,group,far,skymap
S251018bu,G611276,1444839475.627948,gstlal,AllSky,CBC,1.872456337045252e-05,./skymaps/G611276_skymap.fits
S251018bi,G611252,1444836365.020996,pycbc,AllSky,CBC,3.167545842243851e-10,./skymaps/G611252_skymap.fits
S251018bf,G611238,1444835474.177734,spiir,AllSky,CBC,1.531631460238714e-05,./skymaps/G611238_skymap.fits
S251018au,G611207,1444825446.273024,MBTA,AllSky,CBC,4.815786e-06,./skymaps/G611207_skymap.fits
S251017di,G611064,1444770508.105494,gstlal,EarlyWarning,CBC,7.041725023589097e-08,./skymaps/G611064_skymap.fits
S251017db,G611035,1444756079.882981,gstlal,AllSky,CBC,2.150517573994838e-05,./skymaps/G611035_skymap.fits
S251017cz,G611028,1444753870.97998,spiir,AllSky,CBC,1.944743235071655e-05,./skymaps/G611028_skymap.fits
S251017bw,G610962,1444738152.228027,spiir,AllSky,CBC,1.764460648701061e-05,./skymaps/G610962_skymap.fits
S251017at,G610889,1444717849.258545,gstlal,AllSky,CBC,3.766004715607033e-06,./skymaps/G610889_skymap.fits
S251017an,G610865,1444713782.799021,gstlal,AllSky,CBC,1.416516753527403e-05,./skymaps/G610865_skymap.fits
S251017ab,G610829,1444703126.643555,gstlal,AllSky,CBC,1.321800768447603e-05,./skymaps/G610829_skymap.fits
S251017y,G610820,1444702587.056282,gstlal,AllSky,CBC,9.895203447412338e-06,./skymaps/G610820_skymap.fits
S251017p,G610802,1444700602.515716,MBTA,AllSky,CBC,1.578444e-05,./skymaps/G610802_skymap.fits
S251016bg,G610689,1444654814.280363,MBTA,AllSky,CBC,1.899842e-05,./skymaps/G610689_skymap.fits
S251016be,G610685,1444654523.392944,gstlal,AllSky,CBC,2.436164253828867e-07,./skymaps/G610685_skymap.fits
S251016bd,G610675,1444653956.223389,gstlal,AllSky,CBC,1.688984555316343e-05,./skymaps/G610675_skymap.fits
S251015et,G610500,1444602559.240823,MBTA,AllSky,CBC,9.978585e-06,./skymaps/G610500_skymap.fits
S251015ea,G610455,1444592671.181519,gstlal,AllSky,CBC,1.086096480035991e-05,./skymaps/G610455_skymap.fits
S251014dc,G610118,1444505449.269757,MBTA,AllSky,CBC,1.950233e-05,./skymaps/G610118_skymap.fits
S251014cn,G610068,1444476821.373047,pycbc,AllSky,CBC,3.167545842243851e-10,./skymaps/G610068_skymap.fits
S251014ck,G610050,1444476006.475821,gstlal,AllSky,CBC,1.151498880070938e-05,./skymaps/G610050_skymap.fits
S251014cd,G610029,1444472581.102118,gstlal,AllSky,CBC,6.315951878163125e-06,./skymaps/G610029_skymap.fits
S251014bf,G609977,1444460606.384693,gstlal,AllSky,CBC,9.420035159277772e-06,./skymaps/G609977_skymap.fits
S251014g,G609860,1444437628.265635,MBTA,AllSky,CBC,6.839313e-06,./skymaps/G609860_skymap.fits
S251013cg,G609742,1444397760.381342,gstlal,AllSky,CBC,2.049448655701845e-05,./skymaps/G609742_skymap.fits
S251013x,G609599,1444358672.280518,gstlal,AllSky,CBC,1.484145413923102e-08,./skymaps/G609599_skymap.fits
S251013w,G609586,1444358257.347778,gstlal,AllSky,CBC,1.931682902052894e-05,./skymaps/G609586_skymap.fits
S251013q,G609567,1444354999.437661,MBTA,AllSky,CBC,1.436615e-05,./skymaps/G609567_skymap.fits
S251012cw,G609445,1444325455.214544,MBTA,AllSky,CBC,1.214889e-05,./skymaps/G609445_skymap.fits
S251012bx,G609366,1444302231.477655,gstlal,AllSky,CBC,1.144611787803469e-05,./skymaps/G609366_skymap.fits
S251012bn,G609339,1444291686.417969,pycbc,AllSky,CBC,1.06008256702375e-05,./skymaps/G609339_skymap.fits
S251011cy,G609136,1444253814.329672,MBTA,AllSky,CBC,9.908909e-06,./skymaps/G609136_skymap.fits
S251011bw,G609053,1444222318.936523,gstlal,AllSky,CBC,7.287598699759331e-06,./skymaps/G609053_skymap.fits
S251011ax,G608979,1444211174.196517,MBTA,AllSky,CBC,1.984076e-06,./skymaps/G608979_skymap.fits
S251011av,G608959,1444204823.509818,MBTA,AllSky,CBC,2.246916e-05,./skymaps/G608959_skymap.fits
S251011x,G608898,1444193984.600952,gstlal,AllSky,CBC,2.167230098146735e-05,./skymaps/G608898_skymap.fits
S251011m,G608870,1444189060.595581,gstlal,AllSky,CBC,7.7865796166969e-06,./skymaps/G608870_skymap.fits
S251011e,G608852,1444184449.748047,pycbc,AllSky,CBC,3.897981913465283e-06,./skymaps/G608852_skymap.fits
S251010bs,G608822,1444164097.76626,MBTA,AllSky,CBC,3.699084e-06,./skymaps/G608822_skymap.fits
S251010bp,G608809,1444162576.955078,aframe,AllSky,CBC,5.503225000709696e-06,./skymaps/G608809_skymap.fits
S251010al,G608718,1444144591.010417,MBTA,AllSky,CBC,7.772784e-06,./skymaps/G608718_skymap.fits
S251009dt,G608600,1444088876.076172,gstlal,AllSky,CBC,1.671358683890543e-05,./skymaps/G608600_skymap.fits
S251009ds,G608593,1444088601.962456,MBTA,AllSky,CBC,3.730667e-06,./skymaps/G608593_skymap.fits
S251009db,G608574,1444083977.95813,gstlal,AllSky,CBC,1.399579707487723e-05,./skymaps/G608574_skymap.fits
S251009bn,G608454,1444035189.504883,spiir,AllSky,CBC,2.123434023815207e-05,./skymaps/G608454_skymap.fits
S251009u,G608356,1444010938.497559,pycbc,AllSky,CBC,7.893524238871676e-07,./skymaps/G608356_skymap.fits
S251009b,G608288,1444003638.068359,pycbc,AllSky,CBC,1.573383370759366e-05,./skymaps/G608288_skymap.fits
S251008ew,G608246,1443990943.183362,MBTA,AllSky,CBC,1.742044e-05,./skymaps/G608246_skymap.fits
S251008do,G608154,1443970372.923032,gstlal,AllSky,CBC,2.323634499306302e-06,./skymaps/G608154_skymap.fits
S251008dm,G608150,1443969865.241699,pycbc,AllSky,CBC,1.409399522506401e-05,./skymaps/G608150_skymap.fits
S251008ca,G608061,1443943819.901489,gstlal,AllSky,CBC,1.47668373900079e-05,./skymaps/G608061_skymap.fits
S251008bo,G608022,1443940089.788086,gstlal,AllSky,CBC,8.81333722549509e-06,./skymaps/G608022_skymap.fits
S251008bm,G608010,1443939437.990011,MBTA,AllSky,CBC,2.127286e-05,./skymaps/G608010_skymap.fits
S251008u,G607914,1443925295.756555,gstlal,AllSky,CBC,9.808706633707225e-06,./skymaps/G607914_skymap.fits
S251008s,G607909,1443924883.680664,gstlal,AllSky,CBC,1.399432226479419e-05,./skymaps/G607909_skymap.fits
S251008n,G607896,1443923868.537099,gstlal,AllSky,CBC,1.084523461724084e-05,./skymaps/G607896_skymap.fits
S251007bx,G607791,1443866038.605469,aframe,AllSky,CBC,1.2501394496998737e-05,./skymaps/G607791_skymap.fits
S251007bo,G607766,1443862166.493157,MBTA,AllSky,CBC,4.197122e-06,./skymaps/G607766_skymap.fits
S251007bk,G607748,1443857434.737929,MBTA,AllSky,CBC,1.068257e-06,./skymaps/G607748_skymap.fits
S251007t,G607648,1443840467.739746,spiir,AllSky,CBC,2.014437450270634e-05,./skymaps/G607648_skymap.fits
S251006dd,G607593,1443829055.978568,MBTA,AllSky,CBC,5.41588e-16,./skymaps/G607593_skymap.fits
S251006by,G607495,1443798601.432719,MBTA,AllSky,CBC,1.047259e-05,./skymaps/G607495_skymap.fits
S251006bk,G607466,1443789523.21875,aframe,AllSky,CBC,1.5036807745935939e-05,./skymaps/G607466_skymap.fits
S251006bc,G607445,1443783131.912694,gstlal,AllSky,CBC,1.10818784586526e-05,./skymaps/G607445_skymap.fits
S251006aw,G607427,1443776064.202621,MBTA,AllSky,CBC,5.796965e-06,./skymaps/G607427_skymap.fits
S251006ar,G607414,1443772529.657715,pycbc,AllSky,CBC,1.433441195449032e-05,./skymaps/G607414_skymap.fits
S251006ad,G607385,1443764711.393555,pycbc,AllSky,CBC,1.946393569142002e-05,./skymaps/G607385_skymap.fits
S251006t,G607358,1443756576.53876,gstlal,AllSky,CBC,7.849216093790508e-06,./skymaps/G607358_skymap.fits
S251006p,G607341,1443755101.400849,MBTA,AllSky,CBC,6.907727e-06,./skymaps/G607341_skymap.fits
S251005df,G607288,1443742175.598022,gstlal,AllSky,CBC,1.77351413208148e-05,./skymaps/G607288_skymap.fits
S251005dc,G607273,1443739625.537598,pycbc,AllSky,CBC,1.807845114002255e-05,./skymaps/G607273_skymap.fits
S251005db,G607272,1443738949.237793,pycbc,AllSky,CBC,1.875567244109429e-05,./skymaps/G607272_skymap.fits
S251005w,G607057,1443675580.303223,gstlal,AllSky,CBC,5.751402290523841e-06,./skymaps/G607057_skymap.fits
S251005t,G607048,1443674914.781372,gstlal,AllSky,CBC,2.070509374701125e-06,./skymaps/G607048_skymap.fits
S251004cf,G606985,1443651346.594031,gstlal,AllSky,CBC,2.288341398180999e-05,./skymaps/G606985_skymap.fits
S251004bh,G606896,1443620905.765625,aframe,AllSky,CBC,6.335852314703255e-06,./skymaps/G606896_skymap.fits
S251004e,G606754,1443574617.680664,gstlal,AllSky,CBC,1.940143192548474e-05,./skymaps/G606754_skymap.fits
S251003at,G606654,1443533032.5988,pycbc,EarlyWarning,CBC,8.17502863042367e-08,./skymaps/G606654_skymap.fits
S251003as,G606652,1443532915.897334,gstlal,AllSky,CBC,2.255062495886459e-05,./skymaps/G606652_skymap.fits
S251003y,G606610,1443515759.416016,pycbc,AllSky,CBC,2.176040642704681e-05,./skymaps/G606610_skymap.fits
S251003r,G606595,1443509552.020996,gstlal,AllSky,CBC,1.788136925686881e-05,./skymaps/G606595_skymap.fits
S251002ci,G606518,1443480013.707153,gstlal,AllSky,CBC,8.317224606138128e-06,./skymaps/G606518_skymap.fits
S251002ay,G606395,1443422297.629006,MBTA,AllSky,CBC,2.152997e-05,./skymaps/G606395_skymap.fits
S251002j,G606274,1443403362.107178,gstlal,AllSky,CBC,2.067389373957251e-05,./skymaps/G606274_skymap.fits
S251002h,G606265,1443401969.758425,MBTA,AllSky,CBC,2.134174e-05,./skymaps/G606265_skymap.fits
S251002e,G606261,1443401061.362793,spiir,AllSky,CBC,6.76694526191568e-07,./skymaps/G606261_skymap.fits
S251001ck,G606178,1443381478.099487,gstlal,AllSky,CBC,2.193216793210392e-05,./skymaps/G606178_skymap.fits
S251001bt,G606127,1443370986.776855,pycbc,AllSky,CBC,3.067134639044721e-06,./skymaps/G606127_skymap.fits
S251001bk,G606096,1443365772.944535,gstlal,AllSky,CBC,4.288987561818946e-06,./skymaps/G606096_skymap.fits
S251001bf,G606084,1443362562.083984,aframe,AllSky,CBC,1.6917788541639568e-05,./skymaps/G606084_skymap.fits
S251001bd,G606081,1443362383.311224,gstlal,AllSky,CBC,4.900310459169601e-06,./skymaps/G606081_skymap.fits
S251001au,G606064,1443356435.630127,gstlal,AllSky,CBC,2.178435262834097e-05,./skymaps/G606064_skymap.fits
S251001u,G606000,1443336288.470581,gstlal,AllSky,CBC,2.159982301504783e-05,./skymaps/G606000_skymap.fits
S251001b,G605934,1443312555.236328,aframe,AllSky,CBC,9.121684536106703e-06,./skymaps/G605934_skymap.fits
S250930cl,G605879,1443302403.392578,pycbc,AllSky,CBC,1.051783596917071e-05,./skymaps/G605879_skymap.fits
S250930cg,G605860,1443300323.000727,MBTA,AllSky,CBC,3.644801e-06,./skymaps/G605860_skymap.fits
S250930o,G605654,1443230596.173396,MBTA,AllSky,CBC,1.992047e-05,./skymaps/G605654_skymap.fits
S250929ch,G605614,1443223176.068178,MBTA,AllSky,CBC,2.205663e-05,./skymaps/G605614_skymap.fits
S250929cb,G605598,1443220190.219238,pycbc,AllSky,CBC,8.695863600712044e-06,./skymaps/G605598_skymap.fits
S250929bs,G605583,1443214317.884521,gstlal,AllSky,CBC,2.186624392928666e-05,./skymaps/G605583_skymap.fits
S250929ah,G605467,1443184691.028098,MBTA,AllSky,CBC,1.157348e-05,./skymaps/G605467_skymap.fits
S250929ac,G605444,1443173068.560553,gstlal,AllSky,CBC,1.508462474118922e-05,./skymaps/G605444_skymap.fits
S250929u,G605389,1443149385.962822,gstlal,AllSky,CBC,1.786684457623789e-05,./skymaps/G605389_skymap.fits
S250929s,G605378,1443148886.706037,MBTA,AllSky,CBC,5.697661e-06,./skymaps/G605378_skymap.fits
S250929c,G605340,1443140870.375109,gstlal,AllSky,CBC,2.528240633579705e-08,./skymaps/G605340_skymap.fits
S250928fr,G605330,1443133228.585938,pycbc,AllSky,CBC,1.560459783723011e-05,./skymaps/G605330_skymap.fits
S250928fc,G605285,1443124992.42942,MBTA,AllSky,CBC,1.885068e-05,./skymaps/G605285_skymap.fits
S250928fb,G605284,1443124982.850586,pycbc,AllSky,CBC,8.027194673414366e-06,./skymaps/G605284_skymap.fits
S250928ex,G605271,1443124231.361258,MBTA,AllSky,CBC,3.345222e-06,./skymaps/G605271_skymap.fits
S250928dt,G605206,1443114022.30326,gstlal,AllSky,CBC,2.274279108472769e-05,./skymaps/G605206_skymap.fits
S250928bu,G605086,1443083880.642578,gstlal,AllSky,CBC,1.536553927369434e-05,./skymaps/G605086_skymap.fits
S250928bi,G605060,1443080606.928591,MBTA,AllSky,CBC,1.481751e-05,./skymaps/G605060_skymap.fits
S250928be,G605052,1443078865.612335,gstlal,AllSky,CBC,7.119062118544767e-06,./skymaps/G605052_skymap.fits
S250928m,G604945,1443059884.506778,MBTA,AllSky,CBC,1.837667e-05,./skymaps/G604945_skymap.fits
S250927cy,G604854,1443029459.677979,gstlal,AllSky,CBC,5.313349233749549e-08,./skymaps/G604854_skymap.fits
S250927cu,G604839,1443028003.467534,MBTA,AllSky,CBC,1.806747e-05,./skymaps/G604839_skymap.fits
S250927cn,G604818,1443024926.840113,MBTA,AllSky,CBC,1.356254e-05,./skymaps/G604818_skymap.fits
S250927ck,G604805,1443021906.938599,gstlal,AllSky,CBC,3.138739852245421e-08,./skymaps/G604805_skymap.fits
S250926cb,G604560,1442950699.302368,gstlal,AllSky,CBC,7.301404412282582e-06,./skymaps/G604560_skymap.fits
S250926w,G603763,1442890859.935547,spiir,AllSky,CBC,1.17270083137555e-05,./skymaps/G603763_skymap.fits
S250926s,G603752,1442887889.966919,gstlal,AllSky,CBC,1.399479186913378e-07,./skymaps/G603752_skymap.fits
S250925bd,G603666,1442872749.842285,spiir,AllSky,CBC,2.245702853542753e-05,./skymaps/G603666_skymap.fits
S250925u,G602241,1442819051.179228,MBTA,AllSky,CBC,2.177709e-05,./skymaps/G602241_skymap.fits
S250925p,G602223,1442806046.595459,gstlal,AllSky,CBC,7.150243529920167e-06,./skymaps/G602223_skymap.fits
S250924di,G602144,1442774019.601562,pycbc,AllSky,CBC,6.423782968070529e-07,./skymaps/G602144_skymap.fits
S250924cy,G602122,1442769324.935547,pycbc,AllSky,CBC,1.635150514683121e-05,./skymaps/G602122_skymap.fits
S250924ct,G602111,1442767536.489502,gstlal,AllSky,CBC,1.797145473994282e-05,./skymaps/G602111_skymap.fits
S250924cb,G602046,1442755469.087891,aframe,AllSky,CBC,7.036331581513745e-07,./skymaps/G602046_skymap.fits
S250924bs,G602017,1442750273.228027,spiir,AllSky,CBC,4.889759566140128e-06,./skymaps/G602017_skymap.fits
S250924ay,G601967,1442735853.335315,MBTA,AllSky,CBC,1.852976e-05,./skymaps/G601967_skymap.fits
S250924ap,G601945,1442731604.311287,MBTA,AllSky,CBC,4.932375e-06,./skymaps/G601945_skymap.fits
S250924aj,G601935,1442726013.308105,pycbc,AllSky,CBC,5.310707359106041e-06,./skymaps/G601935_skymap.fits
S250924u,G601909,1442721859.573048,MBTA,AllSky,CBC,1.025618e-05,./skymaps/G601909_skymap.fits
S250923cj,G601832,1442672533.510592,MBTA,AllSky,CBC,9.691534e-06,./skymaps/G601832_skymap.fits
S250923ac,G601699,1442641838.84668,gstlal,AllSky,CBC,9.001718023809464e-06,./skymaps/G601699_skymap.fits
S250922da,G601578,1442609609.172729,gstlal,AllSky,CBC,2.300542089852233e-05,./skymaps/G601578_skymap.fits
S250922cd,G601515,1442582733.34668,spiir,AllSky,CBC,3.858359832520364e-06,./skymaps/G601515_skymap.fits
S250922bz,G601511,1442582539.901367,gstlal,AllSky,CBC,1.126859845039268e-05,./skymaps/G601511_skymap.fits
S250922bj,G601475,1442574115.91748,pycbc,AllSky,CBC,1.003605224656542e-05,./skymaps/G601475_skymap.fits
S250922a,G601330,1442536864.254485,MBTA,AllSky,CBC,1.930434e-05,./skymaps/G601330_skymap.fits
S250921bn,G601320,1442531384.59436,gstlal,AllSky,CBC,1.067683533880217e-05,./skymaps/G601320_skymap.fits
S250921ag,G601209,1442495883.852108,MBTA,AllSky,CBC,6.64242e-06,./skymaps/G601209_skymap.fits
S250921p,G601149,1442482487.080078,gstlal,AllSky,CBC,7.572660840905065e-06,./skymaps/G601149_skymap.fits
S250920do,G601065,1442433391.500841,gstlal,AllSky,CBC,2.139491466368216e-05,./skymaps/G601065_skymap.fits
S250920df,G601044,1442426717.303223,pycbc,AllSky,CBC,1.741485028607247e-05,./skymaps/G601044_skymap.fits
S250920ce,G600968,1442406236.671875,pycbc,AllSky,CBC,5.917925897064187e-06,./skymaps/G600968_skymap.fits
S250920bq,G600934,1442399277.062988,spiir,AllSky,CBC,6.315164569059561e-08,./skymaps/G600934_skymap.fits
S250920av,G600869,1442384241.271484,pycbc,AllSky,CBC,7.409523234176816e-06,./skymaps/G600869_skymap.fits
S250920r,G600804,1442367564.562744,gstlal,AllSky,CBC,2.272957941431096e-05,./skymaps/G600804_skymap.fits
S250919cf,G600738,1442358266.597656,aframe,AllSky,CBC,8.808187736822764e-06,./skymaps/G600738_skymap.fits
S250919o,G600565,1442290369.413574,pycbc,AllSky,CBC,6.723749559331022e-06,./skymaps/G600565_skymap.fits
S250918ca,G600441,1442232625.904175,gstlal,AllSky,CBC,2.126711922880114e-05,./skymaps/G600441_skymap.fits
S250918bk,G600405,1442223554.76123,spiir,AllSky,CBC,2.173829852836207e-05,./skymaps/G600405_skymap.fits
S250918bi,G600399,1442222758.506658,gstlal,AllSky,CBC,2.246725328820783e-05,./skymaps/G600399_skymap.fits
S250918aw,G600370,1442217853.156738,spiir,AllSky,CBC,1.691778197709937e-05,./skymaps/G600370_skymap.fits
S250918u,G600306,1442203217.862305,pycbc,AllSky,CBC,7.869767645054848e-06,./skymaps/G600306_skymap.fits
S250917aq,G600171,1442150532.400879,gstlal,AllSky,CBC,1.104166983548416e-13,./skymaps/G600171_skymap.fits
S250917ap,G600162,1442149342.71309,gstlal,AllSky,CBC,1.065126006101082e-06,./skymaps/G600162_skymap.fits
S250917ai,G600125,1442127723.376465,pycbc,AllSky,CBC,2.265078410092857e-05,./skymaps/G600125_skymap.fits
S250916m,G599959,1442031795.504395,pycbc,AllSky,CBC,1.815799163300748e-05,./skymaps/G599959_skymap.fits
S250916c,G599930,1442021691.47168,spiir,AllSky,CBC,6.944821052456973e-06,./skymaps/G599930_skymap.fits
S250913n,G599703,1441838086.699707,spiir,AllSky,CBC,1.483728556195274e-05,./skymaps/G599703_skymap.fits
S250913f,G599651,1441792563.932617,spiir,AllSky,CBC,8.808904567558784e-06,./skymaps/G599651_skymap.fits
S250913e,G599647,1441790659.584255,MBTA,AllSky,CBC,5.585354e-06,./skymaps/G599647_skymap.fits
S250912x,G599588,1441742675.571655,gstlal,AllSky,CBC,7.85244662472298e-08,./skymaps/G599588_skymap.fits
S250912s,G599573,1441736506.657227,spiir,AllSky,CBC,3.417643483771826e-06,./skymaps/G599573_skymap.fits
S250912j,G599517,1441701640.96582,spiir,AllSky,CBC,1.804774365155026e-05,./skymaps/G599517_skymap.fits
S250912h,G599509,1441696595.199712,MBTA,AllSky,CBC,2.01027e-05,./skymaps/G599509_skymap.fits
S250912f,G599503,1441694426.840088,gstlal,AllSky,CBC,2.873133719541769e-13,./skymaps/G599503_skymap.fits
S250912e,G599495,1441693393.940186,gstlal,AllSky,CBC,1.466283768615225e-05,./skymaps/G599495_skymap.fits
